Transmittal Sheet, , , , ,

Data Field Number, Data Field Name, Data Field Type, Valid Values, Examples,
1, Record Identifier - Value is 1, Numeric, 1,  ,
2, Respondent-ID, Alphanumeric, , ,
3, Agency Code, Numeric, 1 2 3 5 7 9, ,
4, Timestamp, Numeric, , Format is century year month day hour minute. Example:Jan. 17 2017 at 1:30 pm is 201701171330,
5, Activity Year, Numeric, , Four digit year. Example: 2017,
6, Tax ID, Alphanumeric, , Example: 00-0000000,
7, Total Line Entries, Numeric, , The number of line entries contained in the accompanying Loan/Application Register. Example: 5000,
8, Respondent Name, Alphanumeric, , Example: FICUS BANK,
9, Respondent Address, Alphanumeric, , Example: 4321 RANDOM BLVD STE 201,
10, Respondent City, Alphanumeric, , Example: SOMECITY,
11, Respondent State, Alphanumeric, , Postal Code abbreviation. Example: ST,
12, Respondent ZIP Code, Alphanumeric, , Example: 12345-1010,
13, Parent Name, Alphanumeric, , If applicable. Example: FERN BANK,
14, Parent Address, Alphanumeric, , If applicable. Example: 456 SOMEWHERE AVE,
15, Parent City, Alphanumeric, , If applicable. Example: ANYTOWN,
16, Parent State, Alphanumeric, , If applicable. Example: ST,
17, Parent Zip Code, Alphanumeric, , If applicable. Example: 12345-1010,
18, Contact Person's Name, Alphanumeric, , For questionable data reports or other issues that may arise during an annual processing cycle. Example: Erika Otis,
19, Contact Person's Phone Number, Alphanumeric, , Example: 999-999-9999,
20, Contact Person's Facsimile Number, Alphanumeric, , Example: 555-555-5555,
21, Contact Person's E-mail Address, Alphanumeric, , Enter only one e-mail address. E-mail address must contain only one @ symbol Example: erikaotis@bank.com,  
LAR, , , , ,
Data Field Number, Data Field Name, Data Field Type, Valid Values, Examples,
1, Record Identifier - Value is 2, Numeric, 2, ,
2, Respondent-ID, Alphanumeric, , ,
3, Agency Code, Numeric, 1 2 3 5 7 9, ,
4, Loan/Application Number, Alphanumeric, , Unique identifier across the home office and branch sites. Example: 57275869091972700,
5, Date Application Received, Alphanumeric, , Format is ccyymmdd or NA. Example: 20170117,
6, Loan Type, Numeric, 1 2 3 4, ,
7, Property Type, Numeric, 1 2 3, ,
8, Loan Purpose, Numeric, 1 2 3, ,
9, Owner Occupancy, Numeric, 1 2 3, ,
10, Loan Amount, Numeric, , Report in thousands. Round to the nearest thousand with leading zeros and without commas. Example: 111,
11, Preapprovals, Numeric, 1 2 3, ,
12, Type of Action Taken, Numeric, 1 2 3 4 5 6 7 8, ,
13, Date of Action, Numeric, , Format is ccyymmdd. Example: 20170117,
14, Metropolitan Statistical Area/Metropolitan Division, Alphanumeric, , Metropolitan Statistical Area or Metropolitan Division (if appropriate) code or NA. Example: 40900,
15, State Code, Alphanumeric, , FIPS code or NA. Example: 06,
16, County Code, Alphanumeric, , FIPS code or NA. Example: 113,
17, Census Tract, Alphanumeric, , Include decimal point or NA. Example: 0109.02,
18, Applicant Ethnicity, Numeric, 1 2 3 4, ,
19, Co-applicant Ethnicity, Numeric, 1 2 3 4 5, ,
20, Applicant Race: 1, Numeric, 1 2 3 4 5 6 7, ,
21, Applicant Race: 2, Numeric, 1 2 3 4 5, If this data field does not contain an entry leave it blank,
22, Applicant Race: 3, Numeric, 1 2 3 4 5, If this data field does not contain an entry leave it blank,
23, Applicant Race: 4, Numeric, 1 2 3 4 5, If this data field does not contain an entry leave it blank,
24, Applicant Race: 5, Numeric, 1 2 3 4 5, If this data field does not contain an entry leave it blank,
25, Co-applicant Race: 1, Numeric, 1 2 3 4 5 6 7 8, ,
26, Co-applicant Race: 2, Numeric, 1 2 3 4 5, If this data field does not contain an entry leave it blank,
27, Co-applicant Race: 3, Numeric, 1 2 3 4 5, If this data field does not contain an entry leave it blank,
28, Co-applicant Race: 4, Numeric, 1 2 3 4 5, If this data field does not contain an entry leave it blank,
29, Co-applicant Race: 5, Numeric, 1 2 3 4 5, If this data field does not contain an entry leave it blank,
30, Applicant Sex, Numeric, 1 2 3 4, ,
31, Co-applicant Sex, Numeric, 1 2 3 4 5, ,
32, Applicant Income, Alphanumeric, , Report in thousands round to the nearest thousand and without commas or NA. Example: 36,
33, Type of Purchaser, Numeric, 0 1 2 3 4 5 6 7 8 9, ,
34, Denial Reason: 1, Numeric, 1 2 3 4 5 6 7 8 9, If this data field does not contain an entry leave it blank,
35, Denial Reason: 2, Numeric, 1 2 3 4 5 6 7 8 9, If this data field does not contain an entry leave it blank,
36, Denial Reason: 3, Numeric, 1 2 3 4 5 6 7 8 9, If this data field does not contain an entry leave it blank,
37, Rate Spread, Alphanumeric, , Enter the rate spread to two decimal places. Include the decimal point and any leading or trailing zeros or NA. For Example: 03.29,
38, HOEPA Status, Numeric, 1 2, ,
39, Lien Status, Numeric, 1 2 3 4, ,
