SUMLEV,MUNICIPIO,NAME,SEX,AGEGRP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
50,1,Adjuntas Municipio,0,0,19129,19159,19284,19402,19484,19568,19630,19620,19584,19546,19501,19483,19455
50,1,Adjuntas Municipio,0,1,1448,1446,1433,1414,1385,1356,1327,1292,1262,1239,1222,1207,1199
50,1,Adjuntas Municipio,0,2,1653,1649,1638,1621,1598,1569,1537,1498,1448,1392,1337,1299,1285
50,1,Adjuntas Municipio,0,3,1852,1852,1837,1819,1799,1774,1731,1698,1658,1616,1565,1528,1520
50,1,Adjuntas Municipio,0,4,1875,1864,1825,1788,1759,1742,1741,1721,1695,1671,1645,1612,1604
50,1,Adjuntas Municipio,0,5,1478,1485,1511,1522,1523,1512,1481,1446,1408,1381,1369,1373,1376
50,1,Adjuntas Municipio,0,6,1176,1177,1185,1208,1243,1282,1318,1343,1357,1360,1348,1331,1321
50,1,Adjuntas Municipio,0,7,1221,1217,1205,1199,1193,1186,1175,1160,1155,1164,1175,1186,1190
50,1,Adjuntas Municipio,0,8,1272,1270,1266,1251,1224,1195,1171,1149,1131,1118,1100,1088,1086
50,1,Adjuntas Municipio,0,9,1256,1259,1276,1286,1303,1323,1334,1340,1339,1321,1299,1290,1284
50,1,Adjuntas Municipio,0,10,1158,1162,1180,1206,1223,1239,1258,1269,1273,1285,1300,1306,1305
50,1,Adjuntas Municipio,0,11,1091,1095,1110,1118,1126,1146,1163,1189,1220,1245,1268,1287,1288
50,1,Adjuntas Municipio,0,12,922,937,997,1055,1105,1148,1190,1203,1211,1219,1236,1250,1249
50,1,Adjuntas Municipio,0,13,733,740,766,803,839,876,917,974,1027,1070,1107,1138,1144
50,1,Adjuntas Municipio,0,14,602,610,632,659,685,716,737,759,785,818,850,878,884
50,1,Adjuntas Municipio,0,15,485,487,500,512,524,537,565,579,594,608,625,634,636
50,1,Adjuntas Municipio,0,16,366,368,380,389,399,407,411,424,438,449,458,475,479
50,1,Adjuntas Municipio,0,17,265,265,270,281,287,289,299,298,301,304,306,304,304
50,1,Adjuntas Municipio,0,18,276,276,273,271,269,271,275,278,282,286,291,297,301
50,1,Adjuntas Municipio,1,0,9360,9374,9433,9489,9524,9561,9597,9588,9574,9555,9533,9522,9506
50,1,Adjuntas Municipio,1,1,710,710,704,694,682,668,656,640,625,616,609,602,598
50,1,Adjuntas Municipio,1,2,888,885,875,862,848,828,805,781,751,719,688,665,658
50,1,Adjuntas Municipio,1,3,962,961,951,937,924,905,879,855,833,809,778,756,752
50,1,Adjuntas Municipio,1,4,965,960,946,931,919,916,921,916,908,900,892,878,874
50,1,Adjuntas Municipio,1,5,733,737,753,763,767,764,751,735,717,703,698,700,702
50,1,Adjuntas Municipio,1,6,565,565,567,578,593,612,631,643,650,654,650,641,637
50,1,Adjuntas Municipio,1,7,565,564,562,560,557,552,548,541,538,541,546,552,554
50,1,Adjuntas Municipio,1,8,602,601,599,591,577,564,554,545,538,531,521,514,513
50,1,Adjuntas Municipio,1,9,585,586,595,600,608,619,626,630,632,624,617,615,612
50,1,Adjuntas Municipio,1,10,561,562,569,581,588,595,604,611,612,616,624,629,629
50,1,Adjuntas Municipio,1,11,521,523,531,536,541,551,561,573,590,604,617,627,627
50,1,Adjuntas Municipio,1,12,427,435,462,490,514,536,557,564,567,571,579,587,586
50,1,Adjuntas Municipio,1,13,353,357,369,388,405,425,448,477,505,527,545,561,563
50,1,Adjuntas Municipio,1,14,289,292,303,317,329,343,350,358,370,384,397,411,414
50,1,Adjuntas Municipio,1,15,229,230,236,240,245,250,265,272,279,287,295,297,297
50,1,Adjuntas Municipio,1,16,161,162,170,177,184,191,195,203,213,222,229,239,241
50,1,Adjuntas Municipio,1,17,127,127,127,132,133,132,136,134,135,136,136,135,135
50,1,Adjuntas Municipio,1,18,117,117,114,112,110,110,110,110,111,111,112,113,114
50,1,Adjuntas Municipio,2,0,9769,9785,9851,9913,9960,10007,10033,10032,10010,9991,9968,9961,9949
50,1,Adjuntas Municipio,2,1,738,736,729,720,703,688,671,652,637,623,613,605,601
50,1,Adjuntas Municipio,2,2,765,764,763,759,750,741,732,717,697,673,649,634,627
50,1,Adjuntas Municipio,2,3,890,891,886,882,875,869,852,843,825,807,787,772,768
50,1,Adjuntas Municipio,2,4,910,904,879,857,840,826,820,805,787,771,753,734,730
50,1,Adjuntas Municipio,2,5,745,748,758,759,756,748,730,711,691,678,671,673,674
50,1,Adjuntas Municipio,2,6,611,612,618,630,650,670,687,700,707,706,698,690,684
50,1,Adjuntas Municipio,2,7,656,653,643,639,636,634,627,619,617,623,629,634,636
50,1,Adjuntas Municipio,2,8,670,669,667,660,647,631,617,604,593,587,579,574,573
50,1,Adjuntas Municipio,2,9,671,673,681,686,695,704,708,710,707,697,682,675,672
50,1,Adjuntas Municipio,2,10,597,600,611,625,635,644,654,658,661,669,676,677,676
50,1,Adjuntas Municipio,2,11,570,572,579,582,585,595,602,616,630,641,651,660,661
50,1,Adjuntas Municipio,2,12,495,502,535,565,591,612,633,639,644,648,657,663,663
50,1,Adjuntas Municipio,2,13,380,383,397,415,434,451,469,497,522,543,562,577,581
50,1,Adjuntas Municipio,2,14,313,318,329,342,356,373,387,401,415,434,453,467,470
50,1,Adjuntas Municipio,2,15,256,257,264,272,279,287,300,307,315,321,330,337,339
50,1,Adjuntas Municipio,2,16,205,206,210,212,215,216,216,221,225,227,229,236,238
50,1,Adjuntas Municipio,2,17,138,138,143,149,154,157,163,164,166,168,170,169,169
50,1,Adjuntas Municipio,2,18,159,159,159,159,159,161,165,168,171,175,179,184,187
50,3,Aguada Municipio,0,0,42074,42110,42313,42455,42564,42664,42672,42571,42389,42219,42070,41959,41912
50,3,Aguada Municipio,0,1,3236,3219,3154,3068,2965,2870,2765,2647,2543,2457,2374,2314,2296
50,3,Aguada Municipio,0,2,3441,3430,3381,3330,3261,3185,3098,3004,2881,2744,2616,2524,2498
50,3,Aguada Municipio,0,3,3634,3630,3614,3581,3549,3509,3432,3369,3300,3216,3123,3051,3034
50,3,Aguada Municipio,0,4,3731,3712,3644,3577,3523,3502,3516,3490,3443,3408,3363,3309,3292
50,3,Aguada Municipio,0,5,3419,3431,3472,3490,3476,3433,3351,3262,3163,3086,3047,3045,3046
50,3,Aguada Municipio,0,6,2820,2807,2775,2775,2801,2836,2869,2869,2848,2806,2739,2670,2651
50,3,Aguada Municipio,0,7,3079,3064,3015,2983,2952,2920,2873,2817,2791,2795,2808,2816,2829
50,3,Aguada Municipio,0,8,3290,3283,3246,3181,3089,2993,2909,2831,2766,2704,2639,2585,2580
50,3,Aguada Municipio,0,9,3173,3177,3190,3186,3200,3224,3222,3213,3175,3106,3036,2996,2985
50,3,Aguada Municipio,0,10,2768,2778,2828,2886,2936,2975,3014,3047,3061,3093,3134,3150,3151
50,3,Aguada Municipio,0,11,2365,2379,2438,2482,2532,2592,2654,2739,2833,2920,2995,3055,3058
50,3,Aguada Municipio,0,12,1885,1920,2073,2219,2351,2469,2586,2645,2678,2717,2775,2823,2824
50,3,Aguada Municipio,0,13,1574,1586,1641,1711,1789,1865,1949,2062,2169,2261,2342,2399,2408
50,3,Aguada Municipio,0,14,1304,1315,1369,1418,1470,1531,1572,1613,1669,1732,1800,1856,1869
50,3,Aguada Municipio,0,15,863,876,923,973,1026,1068,1140,1192,1247,1301,1361,1393,1399
50,3,Aguada Municipio,0,16,642,652,686,718,752,785,805,840,879,916,946,993,1004
50,3,Aguada Municipio,0,17,485,486,497,511,522,532,534,541,543,548,551,549,551
50,3,Aguada Municipio,0,18,365,365,367,366,370,375,383,390,400,409,421,431,437
50,3,Aguada Municipio,1,0,20621,20641,20742,20810,20871,20921,20935,20883,20801,20722,20660,20606,20581
50,3,Aguada Municipio,1,1,1658,1650,1615,1567,1514,1464,1412,1352,1299,1255,1212,1180,1171
50,3,Aguada Municipio,1,2,1736,1731,1706,1682,1650,1614,1570,1523,1462,1396,1336,1291,1279
50,3,Aguada Municipio,1,3,1839,1837,1828,1812,1795,1770,1731,1697,1662,1621,1576,1536,1527
50,3,Aguada Municipio,1,4,1855,1847,1818,1788,1760,1751,1760,1751,1730,1714,1694,1670,1662
50,3,Aguada Municipio,1,5,1711,1718,1743,1757,1757,1738,1702,1656,1604,1560,1538,1537,1537
50,3,Aguada Municipio,1,6,1396,1388,1369,1365,1373,1391,1408,1408,1399,1382,1350,1315,1307
50,3,Aguada Municipio,1,7,1440,1436,1424,1421,1416,1406,1387,1364,1355,1363,1378,1388,1395
50,3,Aguada Municipio,1,8,1594,1591,1576,1547,1507,1468,1434,1403,1378,1354,1322,1295,1292
50,3,Aguada Municipio,1,9,1526,1527,1530,1522,1525,1536,1533,1527,1507,1474,1442,1424,1420
50,3,Aguada Municipio,1,10,1375,1377,1391,1415,1434,1447,1462,1473,1477,1486,1506,1513,1514
50,3,Aguada Municipio,1,11,1144,1151,1179,1195,1216,1243,1273,1310,1355,1397,1431,1461,1462
50,3,Aguada Municipio,1,12,925,942,1017,1089,1154,1212,1268,1298,1313,1330,1360,1385,1385
50,3,Aguada Municipio,1,13,736,742,770,803,842,882,926,982,1038,1085,1125,1153,1156
50,3,Aguada Municipio,1,14,597,604,638,670,703,738,762,786,816,851,888,921,928
50,3,Aguada Municipio,1,15,395,402,426,451,481,502,539,569,601,629,660,675,677
50,3,Aguada Municipio,1,16,297,301,312,322,335,346,353,366,381,395,407,425,429
50,3,Aguada Municipio,1,17,234,234,236,242,245,247,246,246,247,249,250,248,249
50,3,Aguada Municipio,1,18,163,163,164,162,164,166,169,172,177,181,185,189,191
50,3,Aguada Municipio,2,0,21453,21469,21571,21645,21693,21743,21737,21688,21588,21497,21410,21353,21331
50,3,Aguada Municipio,2,1,1578,1569,1539,1501,1451,1406,1353,1295,1244,1202,1162,1134,1125
50,3,Aguada Municipio,2,2,1705,1699,1675,1648,1611,1571,1528,1481,1419,1348,1280,1233,1219
50,3,Aguada Municipio,2,3,1795,1793,1786,1769,1754,1739,1701,1672,1638,1595,1547,1515,1507
50,3,Aguada Municipio,2,4,1876,1865,1826,1789,1763,1751,1756,1739,1713,1694,1669,1639,1630
50,3,Aguada Municipio,2,5,1708,1713,1729,1733,1719,1695,1649,1606,1559,1526,1509,1508,1509
50,3,Aguada Municipio,2,6,1424,1419,1406,1410,1428,1445,1461,1461,1449,1424,1389,1355,1344
