MSA/MD FIPS CODE NO. ,MSA/MD NAME,2015 MSA/MD MED* FAMILY INCOME
10180,"ABILENE, TX",56448
10380,"AGUADILLA-ISABELA, PR",18267
10420,"AKRON, OH",65716
10500,"ALBANY, GA",44715
10540,"ALBANY, OR",54713
10580,"ALBANY-SCHENECTADY-TROY, NY",81103
10740,"ALBUQUERQUE, NM",60032
10780,"ALEXANDRIA, LA",50720
10900,"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ",71539
11020,"ALTOONA, PA",57819
11100,"AMARILLO, TX",61673
11180,"AMES, IA",77539
11244,"ANAHEIM-SANTA ANA-IRVINE, CA",86003
11260,"ANCHORAGE, AK",89267
11460,"ANN ARBOR, MI",87331
11500,"ANNISTON-OXFORD-JACKSONVILLE, AL",52300
11540,"APPLETON, WI",73709
11640,"ARECIBO, PR",20181
11700,"ASHEVILLE, NC",57243
12020,"ATHENS-CLARKE COUNTY, GA",57116
12060,"ATLANTA-SANDY SPRINGS-ROSWELL, GA",67322
12100,"ATLANTIC CITY-HAMMONTON, NJ",66523
12220,"AUBURN-OPELIKA, AL",61141
12260,"AUGUSTA-RICHMOND COUNTY, GA-SC",58059
12420,"AUSTIN-ROUND ROCK, TX",78997
12540,"BAKERSFIELD, CA",52649
12580,"BALTIMORE-COLUMBIA-TOWSON, MD",87788
12620,"BANGOR, ME",56891
12700,"BARNSTABLE TOWN, MA",80751
12940,"BATON ROUGE, LA",66344
12980,"BATTLE CREEK, MI",53315
13020,"BAY CITY, MI",57819
13140,"BEAUMONT-PORT ARTHUR, TX",56953
13220,"BECKLEY, WV",47856
13380,"BELLINGHAM, WA",68376
13460,"BEND-REDMOND, OR",62013
13740,"BILLINGS, MT",66980
13780,"BINGHAMTON, NY",63860
13820,"BIRMINGHAM-HOOVER, AL",62204
13900,"BISMARCK, ND",82181
13980,"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA",60503
14010,"BLOOMINGTON, IL",81357
14020,"BLOOMINGTON, IN",61426
14100,"BLOOMSBURG-BERWICK, PA",59531
14260,"BOISE CITY, ID",61722
14454,"BOSTON, MA",90699
14500,"BOULDER, CO",96926
14540,"BOWLING GREEN, KY",55109
14740,"BREMERTON-SILVERDALE, WA",75652
14860,"BRIDGEPORT-STAMFORD-NORWALK, CT",105628
15180,"BROWNSVILLE-HARLINGEN, TX",36941
