Table with row headers in column A and column headers in row 3,,,,,,,,,,,
"List 1. CORE BASED STATISTICAL AREAS (CBSAs), METROPOLITAN DIVISIONS, AND COMBINED STATISTICAL AREAS (CSAs), JULY 2023",,,,,,,,,,,
CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Brown County,South Dakota,46,013,Central
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Edmunds County,South Dakota,46,045,Outlying
10140,,,"Aberdeen, WA",Micropolitan Statistical Area,,,Grays Harbor County,Washington,53,027,Central
10180,,101,"Abilene, TX",Metropolitan Statistical Area,,"Abilene-Sweetwater, TX",Callahan County,Texas,48,059,Outlying
10180,,101,"Abilene, TX",Metropolitan Statistical Area,,"Abilene-Sweetwater, TX",Jones County,Texas,48,253,Outlying
10180,,101,"Abilene, TX",Metropolitan Statistical Area,,"Abilene-Sweetwater, TX",Taylor County,Texas,48,441,Central
10220,,,"Ada, OK",Micropolitan Statistical Area,,,Pontotoc County,Oklahoma,40,123,Central
10300,,220,"Adrian, MI",Micropolitan Statistical Area,,"Detroit-Warren-Ann Arbor, MI",Lenawee County,Michigan,26,091,Central
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Aguada Municipio,Puerto Rico,72,003,Central
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Aguadilla Municipio,Puerto Rico,72,005,Central
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Añasco Municipio,Puerto Rico,72,011,Central
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Isabela Municipio,Puerto Rico,72,071,Central
10380,,364,"Aguadilla, PR",Metropolitan Statistical Area,,"Mayagüez-Aguadilla, PR",Moca Municipio,Puerto Rico,72,099,Central
