Edit #|Edit Details|Affected Data Fields
S300|The first row of your file must begin with a 1; and 2) Any subsequent rows must begin with a 2.|Record Identifier
S301|The LEI in this row does not match the reported LEI in the transmittal sheet (the first row of your file). Please update your file accordingly.|Legal Entity Identifier (LEI)
S302|The reported Calendar Year does not match the filing year indicated at the start of the filing. Please confirm the information below and update your file accordingly. 1) The correct file has been uploaded; and 2) The correct filing year was chosen at the start of the filing; and 3) The calendar year is listed correctly in the file.|Calendar Year
S303|The reported Federal Agency; Federal Taxpayer Identification Number; and Legal Entity Identifier must match the Federal Agency; Federal Taxpayer Identification Number; and Legal Entity Identifier for the financial institution for which you are filing. Please confirm the information below and update your file accordingly. 1)The correct financial institution was at the start of the filing; and 2)The correct file was uploaded; and 3)The Federal Agency, Federal Taxpayer Identification Number, and  Legal Entity Identifier are reported correctly in the file.|Federal Agency; Federal Taxpayer Identification Number; Legal Entity Identifier (LEI)
S304|The reported Total Number of Entries Contained in Submission does not match the total number of LARs in the HMDA file.|Total Number of Entries Contained in Submission
S305|A duplicate transaction has been reported. Please review and update your file accordingly.|All data fields in the LAR
S306|If Action Taken equals 1, a duplicate ULI cannot be reported.|Universal Loan Identifier (ULI)
V600|The required format for LEI is alphanumeric with 20 characters, and it cannot be left blank.|Legal Entity Identifier (LEI)
V601|Financial Institution Name, Contact Person's Name, Contact Person's E-mail Address, Contact Person's Office Street Address, and Contact Person's Office City are required and must not be left blank. |Financial Institution Name; Contact Person's Name; Contact Person's E-mail Address; Contact Person's Office Street Address; Contact Person's Office City
V602|Calendar Quarter must equal 4, and cannot be left blank.|Calendar Quarter
V603|The required format for the Contact Person's Telephone Number is 999-999-9999, and it cannot be left blank.|Contact Person's Telephone Number
V604|Contact Person's Office State must be a two letter state code, and cannot be left blank.|Contact Person's Office State
V605|The required format for the Contact Person's ZIP Code is 12345-1010 or 12345, and it cannot be left blank.|Contact Person's Office Zip Code
V606|The required format for the Total Number of Entries Contained in Submission is a whole number that is greater than zero, and it cannot be left blank.|Total Number of Entries Contained in Submission
V607|The required format for the Federal Taxpayer Identification Number is 99-9999999, and it cannot be left blank.|Federal Taxpayer Identification Number
V608-1|If your institution is reporting a ULI, the required format for ULI is alphanumeric with at least 23 characters and up to 45 characters, and it cannot be left blank.|Universal Loan Identifier (ULI)
V608-2|The required format for NULI is alphanumeric with at least 1 character and no more than 22 characters, and it cannot be left blank.|Universal Loan Identifier (ULI)
V609|Based on the check digit calculation, the ULI contains a transcription error.|Universal Loan Identifier (ULI)
V610-1|Application Date must be either a valid date using YYYYMMDD format or NA, and cannot be left blank.|Application Date; Action Taken
V610-2|If Action Taken equals 6, then Application Date must be NA, and the reverse must be true.|Application Date; Action Taken
V611|Loan Type must equal 1, 2, 3, or 4, and cannot be left blank.|Loan Type
V612-1|Loan Purpose must equal 1, 2, 31, 32, 4, or 5 and cannot be left blank.|Loan Purpose; Preapproval
V612-2|If Preapproval equals 1, then Loan Purpose must equal 1.|Loan Purpose; Preapproval
V613-1|Preapproval must equal 1 or 2, and cannot be left blank.|Preapproval; Action Taken
V613-2|If Action Taken equals 7 or 8, then Preapproval must equal 1.|Preapproval; Action Taken
V613-3|If Action Taken equals 3, 4, 5 or 6, then Preapproval must equal 2.|Preapproval; Action Taken
V613-4|If Preapproval equals 1, then Action Taken must equal 1, 2, 7 or 8.|Preapproval; Action Taken
V614-1|If Loan Purpose equals 2, 4, 31, 32, or 5, then Preapproval must equal 2.|Preapproval; Loan Purpose; Multifamily Affordable Units; Reverse Mortgage; Open-End Line of Credit
V614-2|If Multifamily Affordable Units is a number, then Preapproval must equal 2.|Preapproval; Loan Purpose; Multifamily Affordable Units; Reverse Mortgage; Open-End Line of Credit
V614-3|If Reverse Mortgage equals 1, then Preapproval must equal 2.|Preapproval; Loan Purpose; Multifamily Affordable Units; Reverse Mortgage; Open-End Line of Credit
V614-4|If Open-End Line of Credit equals 1, then Preapproval must equal 2.|Preapproval; Loan Purpose; Multifamily Affordable Units; Reverse Mortgage; Open-End Line of Credit
V615-1|Construction Method must equal 1 or 2, and cannot be left blank.|Construction Method; Manufactured Home Land Property Interest; Manufactured Home Secured Property Type
V615-2|If Manufactured Home Land Property Interest equals 1, 2, 3 or 4, then Construction Method must equal 2.|Construction Method; Manufactured Home Land Property Interest; Manufactured Home Secured Property Type
V615-3|If Manufactured Home Secured Property Type equals 1 or 2 then Construction Method must equal 2.|Construction Method; Manufactured Home Land Property Interest; Manufactured Home Secured Property Type
V616|Occupancy Type must equal 1, 2, or 3, and cannot be left blank.|Occupancy Type
V617|Loan Amount must be a number greater than or equal to 0, and cannot be left blank.|Loan Amount
V618|Action Taken must equal 1, 2, 3, 4, 5, 6, 7, or 8, and cannot be left blank.|Action Taken
V619-1|Action Taken Date must be a valid date using YYYYMMDD format, and cannot be left blank.|Action Taken Date; Application Date
V619-2|The Action Taken Date must be in the reporting year.|Action Taken Date; Application Date
V619-3|If Action Taken equals 1, 2, 3, 4, 5, 7 or 8, then the Action Taken Date must be on or after the Application Date.|Action Taken; Action Taken Date; Application Date
V620|Street Address cannot be left blank.|Street Address
V621|City cannot be left blank.|City
V622|If Street Address was not reported NA or Exempt, then City, State and Zip Code must be provided, and not reported NA.|Street Address; City; State; Zip Code
V623|State must be either a two letter state code or NA, and cannot be left blank.|State
V624|The required format for Zip Code is 12345-1010, 12345, Exempt, or NA, and it cannot be left blank.|Zip Code
V625-1|The required format for Census Tract is an eleven-digit number or NA, and it cannot be left blank.|Census Tract
V625-2|If Census Tract is not reported NA, then the number provided must be a valid census tract number defined by the U.S. Census Bureau.|Census Tract
V626|The required format for County is a five-digit FIPS code or NA, and it cannot be left blank.|County
V627|If County and Census Tract are not reported NA, they must be a valid combination of information. The first five digits of the Census Tract must match the reported five-digit County FIPS code.|Census Tract; County
