FIPS State Code|FIPS County Code|County Name|State|CBSA Number|One-Unit Limit|Two-Unit Limit|Three-Unit Limit|Four-Unit Limit
01|001|AUTAUGA|AL|33860|453100|580150|701250|871450
01|003|BALDWIN|AL|19300|453100|580150|701250|871450
01|005|BARBOUR|AL|21640|453100|580150|701250|871450
01|007|BIBB|AL|13820|453100|580150|701250|871450
01|009|BLOUNT|AL|13820|453100|580150|701250|871450
01|011|BULLOCK|AL||453100|580150|701250|871450
01|013|BUTLER|AL||453100|580150|701250|871450
01|015|CALHOUN|AL|11500|453100|580150|701250|871450
01|017|CHAMBERS|AL|46740|453100|580150|701250|871450
01|019|CHEROKEE|AL||453100|580150|701250|871450
01|021|CHILTON|AL|13820|453100|580150|701250|871450
01|023|CHOCTAW|AL||453100|580150|701250|871450
01|025|CLARKE|AL||453100|580150|701250|871450
01|027|CLAY|AL||453100|580150|701250|871450
01|029|CLEBURNE|AL||453100|580150|701250|871450
01|031|COFFEE|AL|21460|453100|580150|701250|871450
01|033|COLBERT|AL|22520|453100|580150|701250|871450
01|035|CONECUH|AL||453100|580150|701250|871450
01|037|COOSA|AL|45180|453100|580150|701250|871450
01|039|COVINGTON|AL||453100|580150|701250|871450
01|041|CRENSHAW|AL||453100|580150|701250|871450
01|043|CULLMAN|AL|18980|453100|580150|701250|871450
01|045|DALE|AL|37120|453100|580150|701250|871450
01|047|DALLAS|AL|42820|453100|580150|701250|871450
01|049|DE KALB|AL|22840|453100|580150|701250|871450
01|051|ELMORE|AL|33860|453100|580150|701250|871450
01|053|ESCAMBIA|AL|12120|453100|580150|701250|871450
01|055|ETOWAH|AL|23460|453100|580150|701250|871450
01|057|FAYETTE|AL||453100|580150|701250|871450
01|059|FRANKLIN|AL||453100|580150|701250|871450
01|061|GENEVA|AL|20020|453100|580150|701250|871450
01|063|GREENE|AL||453100|580150|701250|871450
01|065|HALE|AL|46220|453100|580150|701250|871450
01|067|HENRY|AL|20020|453100|580150|701250|871450
01|069|HOUSTON|AL|20020|453100|580150|701250|871450
01|071|JACKSON|AL|42460|453100|580150|701250|871450
01|073|JEFFERSON|AL|13820|453100|580150|701250|871450
01|075|LAMAR|AL||453100|580150|701250|871450
01|077|LAUDERDALE|AL|22520|453100|580150|701250|871450
01|079|LAWRENCE|AL|19460|453100|580150|701250|871450
01|081|LEE|AL|12220|453100|580150|701250|871450
01|083|LIMESTONE|AL|26620|453100|580150|701250|871450
01|085|LOWNDES|AL|33860|453100|580150|701250|871450
01|087|MACON|AL||453100|580150|701250|871450
01|089|MADISON|AL|26620|453100|580150|701250|871450
01|091|MARENGO|AL||453100|580150|701250|871450
01|093|MARION|AL||453100|580150|701250|871450
01|095|MARSHALL|AL|10700|453100|580150|701250|871450
01|097|MOBILE|AL|33660|453100|580150|701250|871450
01|099|MONROE|AL||453100|580150|701250|871450
01|101|MONTGOMERY|AL|33860|453100|580150|701250|871450
01|103|MORGAN|AL|19460|453100|580150|701250|871450
01|105|PERRY|AL||453100|580150|701250|871450
01|107|PICKENS|AL|46220|453100|580150|701250|871450
01|109|PIKE|AL|45980|453100|580150|701250|871450
01|111|RANDOLPH|AL||453100|580150|701250|871450
01|113|RUSSELL|AL|17980|453100|580150|701250|871450
01|115|ST. CLAIR|AL|13820|453100|580150|701250|871450
01|117|SHELBY|AL|13820|453100|580150|701250|871450
01|119|SUMTER|AL||453100|580150|701250|871450
01|121|TALLADEGA|AL|45180|453100|580150|701250|871450
01|123|TALLAPOOSA|AL|10760|453100|580150|701250|871450
01|125|TUSCALOOSA|AL|46220|453100|580150|701250|871450
01|127|WALKER|AL|13820|453100|580150|701250|871450
01|129|WASHINGTON|AL||453100|580150|701250|871450
01|131|WILCOX|AL||453100|580150|701250|871450
01|133|WINSTON|AL||453100|580150|701250|871450
02|013|ALEUTIANS EAST|AK||679650|870225|1051875|1307175
02|016|ALEUTIANS WEST|AK||679650|870225|1051875|1307175
02|020|ANCHORAGE|AK|11260|679650|870225|1051875|1307175
02|050|BETHEL|AK||679650|870225|1051875|1307175
02|060|BRISTOL BAY|AK||679650|870225|1051875|1307175
02|068|DENALI|AK||679650|870225|1051875|1307175
02|070|DILLINGHAM|AK||679650|870225|1051875|1307175
02|090|FAIRBANKS NORTH|AK|21820|679650|870225|1051875|1307175
02|100|HAINES|AK||679650|870225|1051875|1307175
02|105|HOONAH-ANGOON C|AK||679650|870225|1051875|1307175
02|110|JUNEAU|AK|27940|679650|870225|1051875|1307175
02|122|KENAI PENINSULA|AK||679650|870225|1051875|1307175
02|130|KETCHIKAN GATEW|AK|28540|679650|870225|1051875|1307175
02|150|KODIAK ISLAND|AK||679650|870225|1051875|1307175
02|158|KUSILVAK CENSUS AREA|AK||679650|870225|1051875|1307175
02|164|LAKE AND PENINS|AK||679650|870225|1051875|1307175
02|170|MATANUSKA-SUSIT|AK|11260|679650|870225|1051875|1307175
02|180|NOME|AK||679650|870225|1051875|1307175
02|185|NORTH SLOPE|AK||679650|870225|1051875|1307175
02|188|NORTHWEST ARCTI|AK||679650|870225|1051875|1307175
02|195|PETERSBURG CENS|AK||679650|870225|1051875|1307175
02|198|PRINCE OF WALES|AK||679650|870225|1051875|1307175
02|220|SITKA|AK||679650|870225|1051875|1307175
02|230|SKAGWAY MUNICIP|AK||679650|870225|1051875|1307175
02|240|SOUTHEAST FAIRB|AK||679650|870225|1051875|1307175
02|261|VALDEZ-CORDOVA|AK||679650|870225|1051875|1307175
02|275|WRANGELL CITY A|AK||679650|870225|1051875|1307175
02|282|YAKUTAT CITY|AK||679650|870225|1051875|1307175
02|290|YUKON-KOYUKUK|AK||679650|870225|1051875|1307175
04|001|APACHE|AZ||453100|580150|701250|871450
04|003|COCHISE|AZ|43420|453100|580150|701250|871450
04|005|COCONINO|AZ|22380|453100|580150|701250|871450
04|007|GILA|AZ|37740|453100|580150|701250|871450
04|009|GRAHAM|AZ|40940|453100|580150|701250|871450
04|011|GREENLEE|AZ||453100|580150|701250|871450
04|012|LA PAZ|AZ||453100|580150|701250|871450
04|013|MARICOPA|AZ|38060|453100|580150|701250|871450
04|015|MOHAVE|AZ|29420|453100|580150|701250|871450
04|017|NAVAJO|AZ|43320|453100|580150|701250|871450
04|019|PIMA|AZ|46060|453100|580150|701250|871450
04|021|PINAL|AZ|38060|453100|580150|701250|871450
04|023|SANTA CRUZ|AZ|35700|453100|580150|701250|871450
04|025|YAVAPAI|AZ|39140|453100|580150|701250|871450
04|027|YUMA|AZ|49740|453100|580150|701250|871450
05|001|ARKANSAS|AR||453100|580150|701250|871450
05|003|ASHLEY|AR||453100|580150|701250|871450
05|005|BAXTER|AR|34260|453100|580150|701250|871450
05|007|BENTON|AR|22220|453100|580150|701250|871450
05|009|BOONE|AR|25460|453100|580150|701250|871450
05|011|BRADLEY|AR||453100|580150|701250|871450
05|013|CALHOUN|AR|15780|453100|580150|701250|871450
05|015|CARROLL|AR||453100|580150|701250|871450
05|017|CHICOT|AR||453100|580150|701250|871450
05|019|CLARK|AR|11660|453100|580150|701250|871450
05|021|CLAY|AR||453100|580150|701250|871450
05|023|CLEBURNE|AR||453100|580150|701250|871450
05|025|CLEVELAND|AR|38220|453100|580150|701250|871450
05|027|COLUMBIA|AR|31620|453100|580150|701250|871450
05|029|CONWAY|AR||453100|580150|701250|871450
05|031|CRAIGHEAD|AR|27860|453100|580150|701250|871450
05|033|CRAWFORD|AR|22900|453100|580150|701250|871450
05|035|CRITTENDEN|AR|32820|453100|580150|701250|871450
05|037|CROSS|AR||453100|580150|701250|871450
05|039|DALLAS|AR||453100|580150|701250|871450
05|041|DESHA|AR||453100|580150|701250|871450
05|043|DREW|AR||453100|580150|701250|871450
05|045|FAULKNER|AR|30780|453100|580150|701250|871450
05|047|FRANKLIN|AR||453100|580150|701250|871450
05|049|FULTON|AR||453100|580150|701250|871450
05|051|GARLAND|AR|26300|453100|580150|701250|871450
05|053|GRANT|AR|30780|453100|580150|701250|871450
05|055|GREENE|AR|37500|453100|580150|701250|871450
05|057|HEMPSTEAD|AR|26260|453100|580150|701250|871450
05|059|HOT SPRING|AR|31680|453100|580150|701250|871450
05|061|HOWARD|AR||453100|580150|701250|871450
05|063|INDEPENDENCE|AR|12900|453100|580150|701250|871450
05|065|IZARD|AR||453100|580150|701250|871450
05|067|JACKSON|AR||453100|580150|701250|871450
05|069|JEFFERSON|AR|38220|453100|580150|701250|871450
05|071|JOHNSON|AR||453100|580150|701250|871450
05|073|LAFAYETTE|AR||453100|580150|701250|871450
05|075|LAWRENCE|AR||453100|580150|701250|871450
05|077|LEE|AR||453100|580150|701250|871450
