FIPSStateCode|FIPSCountyCode|CountyName|State|CBSANumber|One-UnitLimit|Two-UnitLimit|Three-UnitLimit|Four-UnitLimit
01|001|AUTAUGACOUNTY|AL|33860|647200|828700|1001650|1244850
01|003|BALDWINCOUNTY|AL|19300|647200|828700|1001650|1244850
01|005|BARBOURCOUNTY|AL|21640|647200|828700|1001650|1244850
01|007|BIBBCOUNTY|AL|13820|647200|828700|1001650|1244850
01|009|BLOUNTCOUNTY|AL|13820|647200|828700|1001650|1244850
01|011|BULLOCKCOUNTY|AL||647200|828700|1001650|1244850
01|013|BUTLERCOUNTY|AL||647200|828700|1001650|1244850
01|015|CALHOUNCOUNTY|AL|11500|647200|828700|1001650|1244850
01|017|CHAMBERSCOUNTY|AL|29300|647200|828700|1001650|1244850
01|019|CHEROKEECOUNTY|AL||647200|828700|1001650|1244850
01|021|CHILTONCOUNTY|AL|13820|647200|828700|1001650|1244850
01|023|CHOCTAWCOUNTY|AL||647200|828700|1001650|1244850
01|025|CLARKECOUNTY|AL||647200|828700|1001650|1244850
01|027|CLAYCOUNTY|AL||647200|828700|1001650|1244850
01|029|CLEBURNECOUNTY|AL||647200|828700|1001650|1244850
01|031|COFFEECOUNTY|AL|21460|647200|828700|1001650|1244850
01|033|COLBERTCOUNTY|AL|22520|647200|828700|1001650|1244850
01|035|CONECUHCOUNTY|AL||647200|828700|1001650|1244850
01|037|COOSACOUNTY|AL|10760|647200|828700|1001650|1244850
01|039|COVINGTONCOUNTY|AL||647200|828700|1001650|1244850
01|041|CRENSHAWCOUNTY|AL||647200|828700|1001650|1244850
01|043|CULLMANCOUNTY|AL|18980|647200|828700|1001650|1244850
01|045|DALECOUNTY|AL|37120|647200|828700|1001650|1244850
01|047|DALLASCOUNTY|AL|42820|647200|828700|1001650|1244850
01|049|DEKALBCOUNTY|AL|22840|647200|828700|1001650|1244850
01|051|ELMORECOUNTY|AL|33860|647200|828700|1001650|1244850
01|053|ESCAMBIACOUNTY|AL|12120|647200|828700|1001650|1244850
01|055|ETOWAHCOUNTY|AL|23460|647200|828700|1001650|1244850
01|057|FAYETTECOUNTY|AL||647200|828700|1001650|1244850
01|059|FRANKLINCOUNTY|AL||647200|828700|1001650|1244850
01|061|GENEVACOUNTY|AL|20020|647200|828700|1001650|1244850
01|063|GREENECOUNTY|AL|46220|647200|828700|1001650|1244850
01|065|HALECOUNTY|AL|46220|647200|828700|1001650|1244850
01|067|HENRYCOUNTY|AL|20020|647200|828700|1001650|1244850
01|069|HOUSTONCOUNTY|AL|20020|647200|828700|1001650|1244850
