Collection Year|MSA/MD|State|County|Census Tract|FFIEC Median Family Income|Population|Minority Population %|Number of Owner Occupied Units|Number of 1 to 4 Family Units|Tract MFI|Tract to MSA Income %|Median Age|Small County|MSA/MD Name
2022||01|001|020100|||||||||T|
2022||01|001|020200|||||||||T|
2022||01|001|020300|||||||||T|
2022||01|001|020400|||||||||T|
2022||01|001|020501|||||||||T|
2022||01|001|020502|||||||||T|
2022||01|001|020503|||||||||T|
2022||01|001|020600|||||||||T|
2022||01|001|020700|||||||||T|
2022||01|001|020801|||||||||T|
2022||01|001|020803|||||||||T|
2022||01|001|020804|||||||||T|
2022||01|001|020805|||||||||T|
2022||01|001|020901|||||||||T|
2022||01|001|020902|||||||||T|
2022||01|001|021000|||||||||T|
2022||01|001|021100|||||||||T|
2022||01|003|010100|||||||||T|
2022||01|003|010200|||||||||T|
2022||01|003|010300|||||||||T|
2022||01|003|010400|||||||||T|
2022||01|003|010500|||||||||T|
2022||01|003|010600|||||||||T|
2022||01|003|010704|||||||||T|
2022||01|003|010706|||||||||T|
2022||01|003|010707|||||||||T|
2022||01|003|010708|||||||||T|
2022||01|003|010709|||||||||T|
2022||01|003|010710|||||||||T|
2022||01|003|010711|||||||||T|
2022||01|003|010800|||||||||T|
2022||01|003|010903|||||||||T|
2022||01|003|010904|||||||||T|
2022||01|003|010906|||||||||T|
2022||01|003|010907|||||||||T|
2022||01|003|010908|||||||||T|
2022||01|003|011000|||||||||T|
2022||01|003|011102|||||||||T|
2022||01|003|011103|||||||||T|
2022||01|003|011104|||||||||T|
2022||01|003|011201|||||||||T|
2022||01|003|011202|||||||||T|
2022||01|003|011300|||||||||T|
2022||01|003|011409|||||||||T|
2022||01|003|011410|||||||||T|
2022||01|003|011411|||||||||T|
2022||01|003|011412|||||||||T|
2022||01|003|011413|||||||||T|
2022||01|003|011414|||||||||T|
2022||01|003|011415|||||||||T|
2022||01|003|011416|||||||||T|
2022||01|003|011417|||||||||T|
2022||01|003|011418|||||||||T|
2022||01|003|011419|||||||||T|
2022||01|003|011501|||||||||T|
2022||01|003|011503|||||||||T|
2022||01|003|011504|||||||||T|
2022||01|003|011601|||||||||T|
2022||01|003|011603|||||||||T|
2022||01|003|011604|||||||||T|
2022||01|003|990000|||||||||T|
2022||01|005|950100|||||||||T|
2022||01|005|950200|||||||||T|
2022||01|005|950300|||||||||T|
2022||01|005|950400|||||||||T|
2022||01|005|950500|||||||||T|
2022||01|005|950600|||||||||T|
2022||01|005|950700|||||||||T|
2022||01|005|950800|||||||||T|
2022||01|005|950900|||||||||T|
2022||01|007|010001|||||||||T|
2022||01|007|010005|||||||||T|
2022||01|007|010006|||||||||T|
2022||01|007|010007|||||||||T|
2022||01|007|010008|||||||||T|
2022||01|007|010009|||||||||T|
2022||01|007|010010|||||||||T|
2022||01|007|010011|||||||||T|
2022||01|009|050103|||||||||T|
2022||01|009|050104|||||||||T|
2022||01|009|050105|||||||||T|
2022||01|009|050106|||||||||T|
2022||01|009|050107|||||||||T|
2022||01|009|050200|||||||||T|
2022||01|009|050301|||||||||T|
2022||01|009|050302|||||||||T|
2022||01|009|050400|||||||||T|
2022||01|009|050501|||||||||T|
2022||01|009|050502|||||||||T|
2022||01|009|050601|||||||||T|
2022||01|009|050603|||||||||T|
2022||01|009|050604|||||||||T|
2022||01|009|050701|||||||||T|
2022||01|009|050702|||||||||T|
2022||01|011|952100|||||||||T|
2022||01|011|952201|||||||||T|
2022||01|011|952202|||||||||T|
2022||01|011|952500|||||||||T|
2022||01|013|952700|||||||||T|
2022||01|013|952800|||||||||T|
2022||01|013|952900|||||||||T|
2022||01|013|953000|||||||||T|
2022||01|013|953100|||||||||T|
2022||01|013|953200|||||||||T|
2022||01|013|953300|||||||||T|
2022||01|013|953400|||||||||T|
2022||01|013|953500|||||||||T|
2022||01|015|000200|||||||||T|
2022||01|015|000300|||||||||T|
2022||01|015|000400|||||||||T|
2022||01|015|000500|||||||||T|
2022||01|015|000600|||||||||T|
2022||01|015|000700|||||||||T|
2022||01|015|000800|||||||||T|
2022||01|015|000900|||||||||T|
2022||01|015|001000|||||||||T|
2022||01|015|001101|||||||||T|
2022||01|015|001102|||||||||T|
2022||01|015|001103|||||||||T|
2022||01|015|001201|||||||||T|
2022||01|015|001202|||||||||T|
2022||01|015|001300|||||||||T|
2022||01|015|001400|||||||||T|
2022||01|015|001501|||||||||T|
2022||01|015|001502|||||||||T|
2022||01|015|001600|||||||||T|
2022||01|015|001700|||||||||T|
2022||01|015|001801|||||||||T|
2022||01|015|001802|||||||||T|
2022||01|015|002001|||||||||T|
2022||01|015|002002|||||||||T|
2022||01|015|002101|||||||||T|
2022||01|015|002102|||||||||T|
2022||01|015|002104|||||||||T|
2022||01|015|002105|||||||||T|
2022||01|015|002200|||||||||T|
2022||01|015|002300|||||||||T|
2022||01|015|002400|||||||||T|
2022||01|015|002502|||||||||T|
2022||01|015|002503|||||||||T|
2022||01|015|002504|||||||||T|
2022||01|015|002600|||||||||T|
2022||01|015|981901|||||||||T|
2022||01|015|981902|||||||||T|
2022||01|015|981903|||||||||T|
2022||01|017|953800|||||||||T|
2022||01|017|953900|||||||||T|
2022||01|017|954001|||||||||T|
2022||01|017|954002|||||||||T|
2022||01|017|954200|||||||||T|
2022||01|017|954300|||||||||T|
2022||01|017|954600|||||||||T|
2022||01|017|954700|||||||||T|
2022||01|017|954800|||||||||T|
2022||01|019|955701|||||||||T|
2022||01|019|955702|||||||||T|
2022||01|019|955801|||||||||T|
2022||01|019|955802|||||||||T|
2022||01|019|955900|||||||||T|
2022||01|019|956000|||||||||T|
2022||01|019|956101|||||||||T|
