Column Name, Data Field Name, Data Field Type, Data Field Source
record_id, Record Identifier, Numeric, HMDA Filing Instructions Guide
lei, Legal Entity Identifier, Alphanumeric, HMDA Filing Instructions Guide
uli, Universal Loan Identifier (ULI) or Non-Universal Loan Identifier (NULI), Alphanumeric, HMDA Filing Instructions Guide
application_date, Application Date, Alphanumeric, HMDA Filing Instructions Guide
loan_type, Loan Type, Numeric, HMDA Filing Instructions Guide
loan_purpose, Loan Purpose, Numeric, HMDA Filing Instructions Guide
preapprovals, Preapproval, Numeric, HMDA Filing Instructions Guide
construction_method, Construction Method, Numeric, HMDA Filing Instructions Guide
occupancy, Occupancy Type, Numeric, HMDA Filing Instructions Guide
loan_amount, Loan Amount, Numeric, HMDA Filing Instructions Guide
action_type, Action Taken, Numeric, HMDA Filing Instructions Guide
action_date, Action Taken Date, Numeric, HMDA Filing Instructions Guide
address, Street Address, Alphanumeric, HMDA Filing Instructions Guide
city, City, Alphanumeric, HMDA Filing Instructions Guide
state_code, State, Alphanumeric, HMDA Filing Instructions Guide
zip, ZIP Code, Alphanumeric, HMDA Filing Instructions Guide
county_code, County, Alphanumeric, HMDA Filing Instructions Guide
census_tract_number, Census Tract, Alphanumeric, HMDA Filing Instructions Guide
applicant_ethnicity_1, Ethnicity of Applicant or Borrower: 1, Numeric, HMDA Filing Instructions Guide
applicant_ethnicity_2, Ethnicity of Applicant or Borrower: 2, Numeric, HMDA Filing Instructions Guide
applicant_ethnicity_3, Ethnicity of Applicant or Borrower: 3, Numeric, HMDA Filing Instructions Guide
applicant_ethnicity_4, Ethnicity of Applicant or Borrower: 4, Numeric, HMDA Filing Instructions Guide
applicant_ethnicity_5, Ethnicity of Applicant or Borrower: 5, Numeric, HMDA Filing Instructions Guide
applicant_ethnicity_other, Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino, Alphanumeric, HMDA Filing Instructions Guide
coapplicant_ethnicity_1, Ethnicity of Co-Applicant or Co-Borrower: 1, Numeric, HMDA Filing Instructions Guide
coapplicant_ethnicity_2, Ethnicity of Co-Applicant or Co-Borrower: 2, Numeric, HMDA Filing Instructions Guide
coapplicant_ethnicity_3, Ethnicity of Co-Applicant or Co-Borrower: 3, Numeric, HMDA Filing Instructions Guide
coapplicant_ethnicity_4, Ethnicity of Co-Applicant or Co-Borrower: 4, Numeric, HMDA Filing Instructions Guide
coapplicant_ethnicity_5, Ethnicity of Co-Applicant or Co-Borrower: 5, Numeric, HMDA Filing Instructions Guide
coapplicant_ethnicity_other, Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino, Alphanumeric, HMDA Filing Instructions Guide
applicant_ethnicity_v, Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation of Surname, Numeric, HMDA Filing Instructions Guide
coapplicant_ethnicity_v, Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation of Surname, Numeric, HMDA Filing Instructions Guide
applicant_race1, Race of Applicant or Borrower: 1, Numeric, HMDA Filing Instructions Guide
applicant_race2, Race of Applicant or Borrower: 2, Numeric, HMDA Filing Instructions Guide
applicant_race3, Race of Applicant or Borrower: 3, Numeric, HMDA Filing Instructions Guide
applicant_race4, Race of Applicant or Borrower: 4, Numeric, HMDA Filing Instructions Guide
applicant_race5, Race of Applicant or Borrower: 5, Numeric, HMDA Filing Instructions Guide
