Data Field Name,Data Field Type,Valid Values,Notes
Record Identifier,Integer,[2],
Respondent-ID,Alphanumeric,,
Agency Code,Integer,"[1, 2, 3, 5, 7, 9]",
Loan Type,Integer,"[1, 2, 3, 4]",
Property Type,Integer,"[1, 2, 3]",
Loan Purpose,Integer,"[1, 2, 3]",
Owner Occupancy,Integer,"[1, 2, 3]",
Loan Amount,Character Varying,[NA],
Preapprovals,Integer,"[1, 2, 3]",
Type of Action Taken,Integer,"[1, 2, 3, 4, 5, 6, 7, 8]",
Metropolitan Statistical Area/Metropolitan Division,Character Varying,[NA],
State Code,Character Varying,[NA],2 digit FIPS State Code
County Code,Character Varying,[NA],3 digit FIPS County Code
Census Tract,Character Varying,[NA],6 digit census tract number
Applicant Ethnicity,Integer,"[1, 2, 3, 4]",
Co-Applicant Ethnicity,Integer,"[1, 2, 3, 4, 5]",
Applicant Race: 1,Integer,"[1, 2, 3, 4, 5, 6, 7]",
Applicant Race: 2,Character Varying,"[1, 2, 3, 4, 5]",
Applicant Race: 3,Character Varying,"[1, 2, 3, 4, 5]",
Applicant Race: 4,Character Varying,"[1, 2, 3, 4, 5]",
Applicant Race: 5,Character Varying,"[1, 2, 3, 4, 5]",
Co-Applicant Race: 1,Integer,"[1, 2, 3, 4, 5, 6, 7, 8]",
Co-Applicant Race: 2,Character Varying,"[1, 2, 3, 4, 5]",
Co-Applicant Race: 3,Character Varying,"[1, 2, 3, 4, 5]",
Co-Applicant Race: 4,Character Varying,"[1, 2, 3, 4, 5]",
Co-Applicant Race: 5,Character Varying,"[1, 2, 3, 4, 5]",
Applicant Sex,Integer,"[1, 2, 3, 4]",
Co-applicant Sex,Integer,"[1, 2, 3, 4, 5]",
Applicant Income,Character Varying,[NA],
Type of Purchaser,Integer,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",
Denial Reason: 1,Character Varying,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",
Denial Reason: 2,Character Varying,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",
Denial Reason: 3,Character Varying,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",
Rate Spread,Character Varying,[NA],
HOEPA Status,Integer,"[1, 2]",
Lien Status,Integer,"[1, 2, 3, 4]",
