Category,Edit Type,Edit Number,Edit Description,User Friendly Language,Affected Data Fields
Transmittal Sheet and LAR,Syntactical,S010,The first record identifier in the file must = 1 (TS). The second and all subsequent record identifiers must = 2 (LAR).,"The first row of your file must begin with a ""1"". Any subsequent rows must all begin with a ""2"". Your file does not follow this format. Please update your file accordingly.",Record Identifier
Transmittal Sheet and LAR,Syntactical,S011,The HMDA file must contain at least one loan/application record (record identifier = 2).,"Your file must contain at least one row that begins with a ""2"". Your file does not follow this format. Please update your file accordingly.",Record Identifier
Transmittal Sheet and LAR,Syntactical,S020,"Agency code must = 1, 2, 3, 5, 7, 9. The agency that submits the data must be the same as the reported agency code.","Agency code must equal 1, 2, 3, 5, 7, or 9. An invalid agency code was reported. Please update your file accordingly.",Agency Code
Transmittal Sheet and LAR,Syntactical,S025,Control number must = a valid respondent identifier/agency code combination for date processed.,The respondent-id and agency code provided in the file does not match our records. Please verify the reported respondent-id and agency code and update your file accordingly.,Respondent-ID; Agency Code
Transmittal Sheet and LAR,Syntactical,S040,Application/loan number must be unique.,There are duplicate application/loan numbers in your file. The application/loan number must not be the same as any other application/loan number in the file. Please update your file accordingly.,Loan/Application Number
Transmittal Sheet,Syntactical,S100,Activity year must = year being processed (= 2017).,The activity year provided in the file is incorrect. Please update your file accordingly.,Activity Year
Transmittal Sheet,Syntactical,S013,Timestamp must be later than timestamp on database.,The timestamp provided in row one of the file is earlier than the timestamp in the database. Please update your file accordingly.,
Transmittal Sheet,Syntactical,S028,Timestamp must be numeric and in yyyymmddhhmm format.,The timestamp provided in row one of the file is missing or in an incorrect format. The format is yyyymmddhhmm. Please update your file accordingly.,Timestamp
Transmittal Sheet,Validity,V105,"Respondent name, address, city, state, and zip code must not = blank.","The respondent name, address, city, state, or zip code are missing from row one of your file. Please update your file accordingly.",Respondent Name; Respondent Address; Respondent City; Respondent State; Respondent ZIP Code; 
Transmittal Sheet,Validity,V140,"Respondent state code must equal a valid postal code abbreviation (i.e., AL for Alabama).","The respondent state in row one of your file is not a valid postal code abbreviation or is a postal code outside of the 50 states, the District of Columbia, or Puerto Rico. Please update your file accordingly.",Respondent State
Transmittal Sheet,Validity,V145,Respondent zip code format must be NNNNN or NNNNN-NNNN.,The respondent zip code in row one of your file is not in the proper format. Please update your file accordingly.,Respondent ZIP Code
Transmittal Sheet,Validity,V155,"A valid e-mail address for the institution must be provided and must be in the format of username@exampledomain.topleveldomain. The e- mail address shall not contain any spaces and must contain only one @ symbol.  The e-mail address shall not contain ""@."", "".@"" and "".."" character strings.",The respondent e-mail address in row one of your file is blank or not in a proper format. Please update your file accordingly.,Contact Person's E-mail Address
Transmittal Sheet,Validity,V108,"If parent name is reported, then parent name cannot equal institution name.","The parent name in row one of your file is the same as the institution name. If parent name is reported, it cannot be the same as the institution's name. Please update your file accordingly.",Parent Name; Respondent Name
Transmittal Sheet,Validity,V110,"If respondent is a mortgage banking subsidiary (MBS) or a nondepository institution that has an affiliation with a depository institution, then parent name of the MBS or the depository institution that the nondepository institution is affiliated with along with the address, city, state and zip code must not = blank.","If your institution is a mortgage banking subsidiary or a non depository institution that has an affiliation with a depository institution, then the name, address, city, state, and zip code of the parent must be provided in the respective parent fields. Please update your file accordingly.",Parent Name; Parent Address; Parent City; Parent State; Parent ZIP Code
Transmittal Sheet,Validity,V111,"If parent state code is reported, then the postal code abbreviation must be valid (i.e., AL for Alabama).","The parent state in row one of your file is not a valid postal code abbreviation or is a postal code outside of the 50 states, the District of Columbia, or Puerto Rico. Please update your file accordingly.",Parent State
Transmittal Sheet,Validity,V112,"If parent zip code is reported, then the format must be NNNNN or NNNNN-NNNN.",The parent zip code in row one of your file is not in the proper format. Please update your file accordingly.,Parent ZIP Code
Transmittal Sheet,Validity,V150,Institution Name cannot equal Contact Name.,Your institution's name cannot be the same as the contact person's name. Please update your file accordingly.,Respondent Name; Contact Person's Name
Transmittal Sheet,Validity,V115,Name of contact person must not = blank.,The name of a contact person must be provided. Please update your file accordingly.,Contact Person's Name
Transmittal Sheet,Validity,V120,Contact person telephone number must be in NNN-NNN-NNNN format and not blank.,The contact person's telephone number provided in the file is blank or in an incorrect format. The format is NNN-NNN-NNNN. Please update your file accordingly.,Contact Person's Phone Number
Transmittal Sheet,Validity,V135,Fax Number must be in NNN-NNN-NNNN format and not = blank.,The contact person's fax number provided in the file is blank or in an incorrect format. The format is NNN-NNN-NNNN. Please update your file accordingly.,Contact Person's Facsimile Number
Transmittal Sheet,Validity,V125,Tax ID number must be in NN-NNNNNNN format and not = (99-9999999 or 00-0000000 or blank).,"The tax id number provided in your file cannot be reported as 99-9999999, 00-0000000, or blank. The format is NN-NNNNNNN format. Please update your file accordingly.",Tax ID
LAR,Syntactical,S205,Application/Loan number must not = blank or all zeros.,The application/loan number cannot be blank or all zeros. Please update your file accordingly.,Loan/Application Number
LAR,Validity,V210,"Date application received must be in YYYYMMDD format; month and day must be in the range 01-12 and 01-31, respectively or equal NA. YYYY must be numeric and the first two digits of the number must equal 20.",The date application received should be reported as a valid date or NA. Please update your file accordingly.,Date Application Received
LAR,Validity,V215,"If Action taken type = 6, then date application received must = NA.",The date application received for purchased loans (action taken type = 6) must be NA. Please update your file accordingly.,Date Application Received; Type of Action Taken
LAR,Validity,V220,"Loan type must = 1, 2, 3, or 4.","Loan type must equal 1, 2, 3, or 4. An invalid loan type code was reported. Please update your file accordingly.",Loan Type
LAR,Validity,V400,"Property type must = 1, 2, or 3.","Property type must equal 1, 2, or 3. Please update your file accordingly.",Property Type
LAR,Validity,V225,"Loan purpose must = 1, 2, or 3.","Loan purpose must equal 1, 2, or 3. An invalid loan purpose code was reported. Please update your file accordingly.",Loan Purpose
LAR,Validity,V410,"If lien status = 3, then loan purpose must = 2.","If a reported loan is not secured by a lien (lien status = 3), then it has to be a home improvement loan (loan purpose = 2). Please update your file accordingly.",Loan Purpose; Lien Status
LAR,Validity,V230,"Occupancy must = 1, 2, or 3.","Owner occupancy must equal 1, 2, or 3. An invalid owner occupancy code was reported. Please update your file accordingly.",Owner Occupancy
