year|rid|agency|inst_type|cra_filer|id_tax|id_rssd|id_fdic_cert|id_ncua|id_occ|domain_2017|domain_2014|domain_2013|nm_lgl|state_abbr_nm|city|state_cd|hmda_filer|p_rid|p_rssd|p_name|p_city|p_state|assets|olc|top_holder|top_holder_name|top_holder_city|top_holder_state|top_holder_country
2017|Bank0_RID|9|1|1|b0-testtaxid|6999998|7999998|8999998|9999998|bank0.com|bank0.com|bank0.com|bank-0 National Association|CA|Davis|06|1|Bank0_Parent_RID|6999988.0|Bank0-parent|Somewhereville|CA|100000|0|-1||||
2017|Bank1_RID|9|1|1|b1-testtaxid|6999999|7999999|8999999|9999999|bank1.com|bank1.com|bank1.com|bank-1 Mortgage Lending|DC|Washington|11|1|Bank1_Parent_RID|6999989.0|Bank1-parent|Elsewheretown|DC|200000|0|-1||||
2017|8229|1|1|-1|610153455|718547|2736|0|8229||||FIRST NATIONAL BANK OF MUHLENBERG COUNTY, KENTUCKY|KY|CENTRAL CITY|21|1|-1|1096493.0|FIRST UNITED, INC.|CENTRAL CITY|KY|148317|0|-1||||
2017|12955|1|1|-1|430216490|870650|4549|0|12955|CNBSTL.COM|CNBSTL.COM|CNBSTL.COM|CITIZENS NATIONAL BANK OF GREATER ST. LOUIS|MO|MAPLEWOOD|29|1|-1|1140930.0|CARDINAL BANCORP, INC.|MAPLEWOOD|MO|418859|0|-1||||
2017|706230|1|5|-1|210534340|934271|30996|0|706230||||CENLAR FSB|NJ|TRENTON|34|1|-1|3836880.0|CENLAR CAPITAL CORPORATION|EWING|NJ|862858|0|-1||||
2017|706230|1|5|-1|210534340|934271|30996|0|706230||||CENLAR FSB|NJ|TRENTON|34|1|-1|3836880.0|CENLAR CAPITAL CORPORATION|EWING|NJ|862858|0|-1||||
2017|706230|1|5|-1|210534340|934271|30996|0|706230||||CENLAR FSB|NJ|TRENTON|34|1|-1|3836880.0|CENLAR CAPITAL CORPORATION|EWING|NJ|862858|0|-1||||
2017|20214|1|1|-1|592475686|188430|26323|0|20214|FLCB.COM|FLCB.COM|FLCB.COM|FLORIDA CAPITAL BANK, N.A.|FL|JACKSONVILLE|12|1|-1|3223828.0|FLORIDA CAPITAL GROUP, INC.|JACKSONVILLE|FL|378840|0|-1||||
2017|718024|1|5|-1|0|442011|16040|0|718024||||GENERATIONS BANK|NY|SENECA FALLS|36|1|-1|2912479.0|SENECA-CAYUGA BANCORP, INC.|SENECA FALLS|NY|278402|0|-1||||
2017|718024|1|5|-1|0|442011|16040|0|718024||||GENERATIONS BANK|NY|SENECA FALLS|36|1|-1|2912479.0|SENECA-CAYUGA BANCORP, INC.|SENECA FALLS|NY|278402|0|-1||||
2017|706210|1|5|-1|383206228|745374|30985|0|706210||||FIRST FEDERAL OF NORTHERN MICHIGAN|MI|ALPENA|26|1|-1|3852107.0|FIRST FEDERAL OF NORTHERN MICHIGAN BANCORP, INC.|ALPENA|MI|325386|0|-1||||
2017|702892|1|5|-1|620309135|894272|29089|0|702892||||NEWPORT FEDERAL BANK|TN|NEWPORT|47|1|-1|3842108.0|UNITED TENNESSEE BANKSHARES|NEWPORT|TN|190752|0|-1||||
2017|9786|1|1|-1|370274460|122546|3834|0|9786||||FIRST NATIONAL BANK OF SANDOVAL, THE|IL|SANDOVAL|17|1|-1|1139523.0|FIRST SANDOVAL BANCORP, INC.|SANDOVAL|IL|44948|0|-1||||
2017|17967|1|1|-1|751892733|1013856|24763|0|17967||||PANOLA NATIONAL BANK|TX|CARTHAGE|48|1|-1|2860918.0|PANOLA NATIONAL BANCSHARES, INC.|CARTHAGE|TX|126407|0|-1||||
2017|23457|1|1|-1|410531730|1011656|10160|0|23457||STEARNSBANK.COM||STEARNS BANK OF HOLDINGFORD, NATIONAL ASSOCIATION|MN|HOLDINGFORD|27|1|-1|1427275.0|STEARNS FINANCIAL SERVICES, INC.|SAINT CLOUD|MN|98738|0|-1||||
2017|23457|1|1|-1|410531730|1011656|10160|0|23457||STEARNSBANK.COM||STEARNS BANK OF HOLDINGFORD, NATIONAL ASSOCIATION|MN|HOLDINGFORD|27|1|-1|1427275.0|STEARNS FINANCIAL SERVICES, INC.|SAINT CLOUD|MN|98738|0|-1||||
2017|9784|1|1|-1|0|44040|4364|0|9784||||FIRST NATIONAL BANK OF MONTEREY, THE|IN|MONTEREY|18|1|NaN|||||317970|0|-1||||
2017|706859|1|5|-1|591008568|408875|31390|0|706859|AXIOMBANKING.COM|AXIOMBANKING.COM|URBANTRUSTBANK.COM|AXIOM BANK|FL|MAITLAND|12|1|-1|3837962.0|AXIOM BANCSHARES, INC.|MAITLAND|FL|657159|0|-1||||
2017|7592|1|1|-1|630095181|112332|2804|0|7592|FNBHARTFORD.COM|FNBHARTFORD.COM|FNBHARTFORD.COM|FIRST NATIONAL BANK OF HARTFORD|AL|HARTFORD|1|1|-1|1084052.0|FIRST HARTFORD BANCSHARES, INC.|HARTFORD|AL|118986|0|-1||||
2017|702007|1|5|-1|0|123075|28637|0|702007||||MILTON SAVINGS BANK|PA|MILTON|42|1|NaN|||||64705|0|-1||||
2017|700528|1|5|-1|0|682479|27909|0|700528||||HOME FEDERAL SAVINGS AND LOAN ASSOCIATION|IL|COLLINSVILLE|17|1|NaN|||||91220|0|-1||||
2017|1493|1|1|-1|610290000|702612|2700|0|1493|FSNB.NET|FSNB.NET|FSNB.NET|FIRST SOUTHERN NATIONAL BANK|KY|LANCASTER|21|1|-1|1247987.0|FIRST SOUTHERN BANCORP, INC.|STANFORD|KY|683163|0|-1||||
2017|23393|1|1|-1|370867684|660271|28105|0|23393||||FIRST ROBINSON SAVINGS BANK, NATIONAL ASSOCIATION|IL|ROBINSON|17|1|-1|2558194.0|FIRST ROBINSON FINANCIAL CORPORATION|ROBINSON|IL|271168|0|-1||||
2017|713964|1|5|-1|0|541307|27015|0|713964||||ADMIRALS BANK|MA|BOSTON|25|1|-1|1250138.0|ADMIRALS BANCORP, INC.|BOSTON|MA|451471|0|-1||||
2017|713964|1|5|-1|0|541307|27015|0|713964||||ADMIRALS BANK|MA|BOSTON|25|1|-1|1250138.0|ADMIRALS BANCORP, INC.|BOSTON|MA|451471|0|-1||||
2017|713964|1|5|-1|0|541307|27015|0|713964||||ADMIRALS BANK|MA|BOSTON|25|1|-1|1250138.0|ADMIRALS BANCORP, INC.|BOSTON|MA|451471|0|-1||||
2017|701158|1|5|-1|0|875879|28217|0|701158||||WARSAW FEDERAL SAVINGS AND LOAN ASSOCIATION|OH|CINCINNATI|39|1|NaN|||||66709|0|-1||||
2017|24661|1|1|-1|203742585|3603457|58376|0|24661|ENCOREBANK.COM|ENCOREBANK.COM|ENCORENATIONALBANK.COM|ENCORE BANK, NATIONAL ASSOCIATION|FL|NAPLES|12|1|-1|4114884.0|OVATION HOLDINGS, INC.|NAPLES|FL|354161|0|-1||||
2017|24129|1|1|-1|770560024|3025406|57086|0|24129||||BRIDGE BANK, NATIONAL ASSOCIATION|CA|SAN JOSE|6|1|-1|3280988.0|BRIDGE CAPITAL HOLDINGS|SAN JOSE|CA|1810353|0|-1||||
2017|24129|1|1|-1|770560024|3025406|57086|0|24129||||BRIDGE BANK, NATIONAL ASSOCIATION|CA|SAN JOSE|6|1|-1|3280988.0|BRIDGE CAPITAL HOLDINGS|SAN JOSE|CA|1810353|0|-1||||
2017|24129|1|1|-1|770560024|3025406|57086|0|24129||||BRIDGE BANK, NATIONAL ASSOCIATION|CA|SAN JOSE|6|1|-1|3280988.0|BRIDGE CAPITAL HOLDINGS|SAN JOSE|CA|1810353|0|-1||||
2017|24129|1|1|-1|770560024|3025406|57086|0|24129||||BRIDGE BANK, NATIONAL ASSOCIATION|CA|SAN JOSE|6|1|-1|3280988.0|BRIDGE CAPITAL HOLDINGS|SAN JOSE|CA|1810353|0|-1||||
2017|2747466|2|2|-1|430590425|2747466|8274|0|0||||EXCHANGE BANK OF NORTHEAST MISSOURI|MO|KAHOKA|29|1|-1|1097173.0|LINCOLN COUNTY BANCORP, INC.|TROY|MO|145251|0|-1||||
2017|1864197|2|2|-1|770262278|1864197|33457|0|0|OVCB.COM|OVCB.COM|OVCB.COM|OAK VALLEY COMMUNITY BANK|CA|OAKDALE|6|1|-1|3726440.0|OAK VALLEY BANCORP|OAKDALE|CA|749385|0|-1||||
2017|3597305|2|2|-1|208647183|3597305|58462|0|0||||CAPITAL BANK|CA|SAN JUAN CAPISTRANO|6|1|NaN|||||252474|0|-1||||
2017|945053|2|2|1|730427310|945053|15399|0|0|BANKRCB.NET|BANKRCB.NET|BANKRCB.NET|RCB BANK|OK|CLAREMORE|40|1|-1|1130584.0|RCB HOLDING COMPANY, INC.|CLAREMORE|OK|2442183|0|-1||||
2017|830542|2|2|-1|420175400|830542|1552|0|0|CBIBANKS.COM|CBIBANKS.COM||CENTRAL STATE BANK|IA|MUSCATINE|19|1|-1|1203899.0|CENTRAL BANCSHARES, INC.|MUSCATINE|IA|432224|0|-1||||
2017|952846|2|2|-1|420335310|952846|14291|0|0||||IOWA STATE BANK|IA|WAPELLO|19|1|-1|1205156.0|MORNING SUN BANK CORP.|MORNING SUN|IA|80072|0|-1||||
