ReportId,Type,ReportTable,Dispositions,Description
A52,Aggregate,5-2,Received;Originated;ApprovedButNotAccepted;Denied;Withdrawn;Closed,"Disposition of Applications for Conventional Home-Purchase Loans, 1-to-4 Family and Manufactured Home Dwellings, by Income, Race, and Ethnicity of Applicant"
A53,Aggregate,5-3,Received;Originated;ApprovedButNotAccepted;Denied;Withdrawn;Closed,"Disposition of Applications to Refinance Loans on 1-to-4 Family and Manufactured Home Dwellings, by Income, Race, and Ethnicity of Applicant"
DA1,Disclosure,A1,,"Disposition of applications and loan sales by loan type, 1- to 4-family dwellings (Excludes manufactured homes)"
DA2,Disclosure,A2,,"Disposition of applications and loan sales by loan type, manufactured homes"
DA3,Disclosure,A3,,"Disposition of applications and loan sales by loan type, multifamily housing"
DA1W,Disclosure,A1W,,"Disposition of applications and loan sales by loan type, 1- to 4-family dwellings (Excludes manufactured homes)"
DA2W,Disclosure,A2W,,"Disposition of applications and loan sales by loan type, manufactured homes"
DA3W,Disclosure,A3W,,"Disposition of applications and loan sales by loan type, multifamily housing"
DB,Disclosure,B,,"Loan pricing information for conventional loans by incidence and level"
DBW,Disclosure,BW,,"Loan pricing information for conventional loans by incidence and level"
D31,Disclosure,3-1,,"Loans sold, by characteristics of borrower and census tract in which property is located and by type of purchaser (includes originations and purchased loans)"
D51,Disclosure,5-1,Received;Originated;ApprovedButNotAccepted;Denied;Withdrawn;Closed,"Disposition of applications for FHA, FSA/RHS, and VA home-purchase loans, 1- to 4-family and manufactured home dwellings, by income, race and ethnicity of applicant"
D52,Disclosure,5-2,Received;Originated;ApprovedButNotAccepted;Denied;Withdrawn;Closed,"Disposition of Applications for Conventional Home-Purchase Loans, 1-to-4 Family and Manufactured Home Dwellings, by Income, Race, and Ethnicity of Applicant"
D53,Disclosure,5-3,Received;Originated;ApprovedButNotAccepted;Denied;Withdrawn;Closed,"Disposition of Applications to Refinance Loans on 1-to-4 Family and Manufactured Home Dwellings, by Income, Race, and Ethnicity of Applicant"
D71,Disclosure,7-1,,"Disposition of applications for FHA, FSA/RHS, and VA home-purchase loans, 1- to 4-family and manufactured home dwellings, by characteristics of census tract in which property is located"
D72,Disclosure,7-2,,"Disposition of applications for conventional home-purchase loans, 1- to 4-family and manufactured home dwellings, by characteristics of census tract in which property is located"
D73,Disclosure,7-3,,"Disposition of applications to refinance loans on 1- to 4-family and manufactured home dwellings, by characteristics of census tract in which property is located"
D74,Disclosure,7-4,,"Disposition of applications for home improvement loans, 1- to 4-family and manufactured home dwellings, by characteristics of census tract in which property is located"
D75,Disclosure,7-5,,"Disposition of applications for loans on dwellings for 5 or more families, by characteristics of census tract in which property is located"
D76,Disclosure,7-6,,"Disposition of applications from nonoccupants for home-purchase, home improvement, or refinancing loans, 1- to 4-family and manufactured home dwellings, by characteristics of census tract in which property is located"
D77,Disclosure,7-7,,"Disposition of applications for home-purchase, home improvement, or refinancing loans, manufactured home dwellings, by characteristics of census tract in which property is located"
D41,Disclosure,4-1,Received;Originated;ApprovedButNotAccepted;Denied;Withdrawn;Closed,"Disposition of applications for FHA, FSA/RHS, and VA home-purchase loans, 1- to 4- family and manufactured home dwellings, by race, ethnicity, gender and income of applicant"
D42,Disclosure,4-2,Received;Originated;ApprovedButNotAccepted;Denied;Withdrawn;Closed,"Disposition of applications for conventional home-purchase loans 1- to 4- family and manufactured home dwellings, by race, ethnicity, gender and income of applicant"
D43,Disclosure,4-3,Received;Originated;ApprovedButNotAccepted;Denied;Withdrawn;Closed,"Disposition of applications to refinace loans on 1- to 4- family and manufactured home dwellings, by race, ethnicity, gender and income of applicant"
